,0
Apple iPhone Xs Max 256GB,"Tk 140,000"
Ugreen USB 2.0 Flash Drive for iPhone and iPad,"Tk 3,500"
Apple iPhone Xs 64 GB,"Tk 115,000"
Apple iPhone Xs Max 512GB,"Tk 160,000"
Apple iPhone Xs Max 64GB,"Tk 125,000"
Apple iPhone 6S Plus 32GB,"Tk 44,999"
Apple iPhone 6 32GB,"Tk 29,999"
Apple iPhone 8 256GB-Red,"Tk 99,999"
iPhone 8 Plus 256GB -Red,"Tk 109,999"
Apple iPhone 7 Plus 3 GB/128 GB,"Tk 79,999"
Apple iPhone X - 64GB,"Tk 89,999"
Apple iPhone X 256GB,"Tk 120,500"
Apple iPhone 7 Plus 3 GB/256 GB,"Tk 93,200"
JOYROOM EM202 Metal Earphone,Tk 350
JOYROOM JR-E106 Stereo In-ear Earphone,"Tk 14,990"
Vivo Y81 3GB 32 GB,Tk 500
TT eSports Thermaltake CONTOUR mobile gaming/Black/Apple MFI /Bluetooth/Battery/Black,Tk 999
Joyroom HKL-USB30 Travel Charger with 3 USB Ports,"Tk 1,500"
