,0
Apple iPhone XS 512GB Smartphone,"Tk 150,000"
Apple iPhone 6s Plus 32GB Smartphone,"Tk 44,999"
Apple iPhone X 256 GB,"Tk 120,500"
Apple iPhone 8 - 64 GB,"Tk 79,999"
Apple iPhone 8 Plus 256 GB,"Tk 109,999"
Apple iPhone 8 - 256 GB,"Tk 99,999"
iPhone X Transparent Mobile Case,Tk 110
"iPhone Adapter Splitter, 2 in 1 Dual Lightning Audio & Charge Adapter",Tk 230
iPhone 7 Red Silicon Rubber Mobile Case,Tk 180
iPhone 5/5s Transparent Mobile Case,Tk 120
Apple iPhone XR 3GB/128GB,"Tk 85,000"
Apple iPhone 8 Plus 3GB/64GB,"Tk 94,999"
High Capacity iPhone 6s Plus Battery – 3400mAh,"Tk 1,350"
Rock Dr.V Case for iPhone 6 Plus (Gold),"Tk 1,050"
Rock Dr.V Case for S7 Edge Case (Black),"Tk 1,050"
Rock Dr.V Case Black for iPhone 6 (Black),"Tk 1,050"
Battery for iPhone 6s – HP026,"Tk 1,099"
Battery for iphone 6+ – HP025,"Tk 1,200"
Battery for iPhone 5s – HP027,Tk 870
Battery for iPhone 5 – HP028,Tk 870
Battery for iPhone 4s – HP029,Tk 870
